Banks,Branch,Code,Country,Town,
ZB,Chiredzi,4642,Zimbabwe,Chiredzi,Chiredzi
ZB,Finsure,4624,Zimbabwe,Harare,Harare
ZB,Chinhoyi,4620,Zimbabwe,Chinhoyi,Chinhoyi
ZB,Zb Mutare,4551,Zimbabwe,Mutare,Mutare
ZB,Marondera,4546,Zimbabwe,Marondera,Marondera
ZB,Zb Bank,4301,Zimbabwe,Harare,Zb Bank Harare
ZB,Birmingham,4174,Zimbabwe,Harare,Birmingham
ZB,Westgate,4173,Zimbabwe,Harare,Westgate
ZB,Highlands,4161,Zimbabwe,Harare,Highlands
ZB,First Street,4103,Zimbabwe,Harare,First Street Harare
ZB,Sybank,4096,Zimbabwe,Harare,Harare
ZB,Sytrust,4095,Zimbabwe,Harare,Harare
ZB,Highglen,4198,Zimbabwe,Harare,"Shop No.47 High Glen Shopping Centre, Willowvale Township,Hre"
ZB,Gwanda,4509,ZIMBABWE,Gwanda,No.8 Nassa Complex
ZB,Retail Banking,4059,ZIMBABWE,Harare,
ZB,Private Banking,4114,ZIMBABWE,Harare,
ZB,Gwanda,4510,ZIMBABWE,Gwanda,
ZB,Rusape,4530,ZIMBABWE,Rusape,
ZB,Ngezi,4550,ZIMBABWE,Ngezi,
ZB,Angwa Street,4130,ZIMBABWE,Harare,
ZB,Avondale,4113,ZIMBABWE,Harare,
ZB,Beitbridge,4555,ZIMBABWE,Beitbridge,
ZB,Belmont,4304,ZIMBABWE,Bulawayo,
ZB,Birmingham Road,4139,ZIMBABWE,Harare,
ZB,Borrowdale,4129,ZIMBABWE,Harare,
ZB,Central Administration,4180,ZIMBABWE,Harare,
ZB,Central Administration,4303,ZIMBABWE,Bulawayo,
ZB,Chinhoyi,4565,ZIMBABWE,Chinhoyi,
ZB,Chisipite,4118,ZIMBABWE,Harare,
ZB,Chitungwiza,4552,ZIMBABWE,Chitungwiza,
ZB,Corporate Union Ave,4167,ZIMBABWE,Harare,
ZB,Douglas Road,4157,ZIMBABWE,Harare,
ZB,Forex,4142,ZIMBABWE,Harare,
ZB,Fife Street,4302,ZIMBABWE,Bulawayo,
ZB,First Street,4112,ZIMBABWE,Harare,
ZB,Graniteside,4120,ZIMBABWE,Harare,
